type,number,X/E,Y/N,Z/U
start,1,234384.176568,2502113.756662,1.098766
goal,1,234371.336423,2502113.930928,0.998187
target_zones,1,234376.249334,2502115.050372,1.059783
target_zones,1,234376.432992,2502115.084635,1.061938
target_zones,1,234376.449444,2502114.843116,1.057365
target_zones,1,234376.279564,2502114.822211,1.055582
target_zones,2,234376.014125,2502112.343909,1.005140
target_zones,2,234376.130064,2502112.337935,1.005963
target_zones,2,234376.139996,2502112.209468,1.003540
target_zones,2,234376.031929,2502112.207290,1.002623
target_zones,3,234379.541398,2502112.521833,1.037170
target_zones,3,234379.723500,2502112.520006,1.038609
target_zones,3,234379.714362,2502112.342694,1.035080
target_zones,3,234379.540888,2502112.334306,1.033512
target_zones,4,234379.576439,2502110.799432,1.003891
target_zones,4,234379.693060,2502110.787387,1.004601
target_zones,4,234379.667130,2502110.581411,1.000377
target_zones,4,234379.558995,2502110.574433,0.999365
target_zones,5,234376.664880,2502109.936342,0.963496
target_zones,5,234376.865306,2502109.889214,0.964201
target_zones,5,234376.851829,2502109.779579,0.961955
target_zones,5,234376.645825,2502109.810802,0.960896
target_zones,6,234374.071555,2502109.391499,0.931880
target_zones,6,234374.199377,2502109.396800,0.933018
target_zones,6,234374.206858,2502109.266544,0.930541
target_zones,6,234374.073715,2502109.261333,0.929361
target_zones,7,234373.471209,2502108.107457,0.901998
target_zones,7,234373.660541,2502108.086628,0.903125
target_zones,7,234373.639292,2502107.937211,0.900041
target_zones,7,234373.458648,2502107.951600,0.898859
target_zones,8,234377.854461,2502107.817833,0.931848
target_zones,8,234378.014060,2502107.806702,0.932923
target_zones,8,234378.002630,2502107.666710,0.930103
target_zones,8,234377.849774,2502107.669300,0.928916
obstacle_zones,1,234380.965874,2502110.543258,1.010150
obstacle_zones,1,234381.569926,2502110.375857,1.011780
obstacle_zones,1,234381.818873,2502110.199997,1.010369
obstacle_zones,1,234381.420207,2502108.769512,0.979266
obstacle_zones,1,234381.370090,2502108.733138,0.978152
obstacle_zones,1,234381.269093,2502108.741053,0.977488
obstacle_zones,1,234381.096416,2502108.783270,0.976912
obstacle_zones,1,234380.608436,2502108.981792,0.976829
obstacle_zones,1,234380.594097,2502109.116453,0.979337
obstacle_zones,1,234380.618558,2502109.225641,0.981663
obstacle_zones,1,234380.661092,2502109.431717,0.986023
obstacle_zones,1,234380.920914,2502110.442689,1.007827
obstacle_zones,2,234377.787757,2502110.549544,0.984538
obstacle_zones,2,234378.291284,2502110.675430,0.991068
obstacle_zones,2,234378.594840,2502110.558616,0.991250
obstacle_zones,2,234378.624289,2502110.465059,0.989665
obstacle_zones,2,234378.654537,2502110.421119,0.989054
obstacle_zones,2,234378.649545,2502110.367436,0.987968
obstacle_zones,2,234378.660857,2502110.301069,0.986766
